form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
πολλὰ	πολύς	1	a	-	p	-	-	-	n	a	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
λέγειν	λέγω3	3	v	-	-	p	n	a	-	-	-
,	punc1	4	u	-	-	-	-	-	-	-	-
ὦ	ὦ	5	i	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	6	n	-	p	-	-	-	m	v	-
δικασταί	δικαστής	7	n	-	p	-	-	-	m	v	-
,	punc1	8	u	-	-	-	-	-	-	-	-
περὶ	περί	9	r	-	-	-	-	-	-	-	-
τουτουὶ	οὗτος	10	a	-	s	-	-	-	n	g	_
τοῦ	ὁ	11	l	-	s	-	-	-	n	g	-
πράγματος	πρᾶγμα	12	n	-	s	-	-	-	n	g	-
οὔτʼ	οὔτε	13	d	-	-	-	-	-	-	-	-
ἂν	ἄν1	14	d	-	-	-	-	-	-	-	-
δυναίμην	δύναμαι	15	v	1	s	p	o	e	-	-	-
οὔ	οὐ	16	d	-	-	-	-	-	-	-	-
-τε	τε	17	c	-	-	-	-	-	-	-	-
μοι	ἐγώ	18	p	1	s	-	-	-	m	d	-
δοκεῖ	δοκέω	19	v	3	s	p	i	a	-	-	-
δεῖν	δεῖ	20	v	-	-	p	n	a	-	-	-
·	punc1	21	u	-	-	-	-	-	-	-	-

ὡς	ὡς	1	c	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ὀρθῶς	ὀρθός	3	d	-	-	-	-	-	-	-	-
τὴν	ὁ	4	l	-	s	-	-	-	f	a	-
δίκην	δίκη	5	n	-	s	-	-	-	f	a	-
ἔλαχον	λαγχάνω	6	v	1	s	a	i	a	-	-	-
τουτῳὶ	οὗτος	7	a	-	s	-	-	-	m	d	_
Παγκλέωνι	Παγκλέων	8	n	-	s	-	-	-	m	d	-
οὐκ	οὐ	9	d	-	-	-	-	-	-	-	-
ὄντι	εἰμί	10	v	-	s	p	p	a	m	d	-
