form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ἡμεῖς	ἐγώ	1	p	1	p	-	-	-	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
νῦν	νῦν	3	d	-	-	-	-	-	-	-	-
καὶ	καί	4	d	-	-	-	-	-	-	-	-
ἀδικούμενοι	ἀδικέω	5	v	-	p	p	p	e	m	n	-
τὸν	ὁ	6	l	-	s	-	-	-	m	a	-
πόλεμον	πόλεμος	7	n	-	s	-	-	-	m	a	-
ἐγείρομεν	ἐγείρω	8	v	1	p	p	i	a	-	-	-
καὶ	καί	9	c	-	-	-	-	-	-	-	-
ἱκανὰ	ἱκανός	10	a	-	p	-	-	-	n	a	-
ἔχοντες	ἔχω	11	v	-	p	p	p	a	m	n	-
ἐγκλήματα	ἔγκλημα	12	n	-	p	-	-	-	n	a	-
,	,	13	u	-	-	-	-	-	-	-	-
καὶ	καί	14	c	-	-	-	-	-	-	-	-
ὅταν	ὅταν	15	c	-	-	-	-	-	-	-	-
ἀμυνώμεθα	ἀμύνω	16	v	1	p	p	s	e	-	-	-
Ἀθηναίους	Ἀθηναῖος	17	n	-	p	-	-	-	m	a	-
,	,	18	u	-	-	-	-	-	-	-	-
καταθησόμεθα	κατατίθημι	19	v	1	p	f	i	m	-	-	-
αὐτὸν	αὐτός	20	p	-	s	-	-	-	m	a	-
ἐν	ἐν	21	r	-	-	-	-	-	-	-	-
καιρῷ	καιρός	22	n	-	s	-	-	-	m	d	-
.	.	23	u	-	-	-	-	-	-	-	-

κατὰ	κατά	1	r	-	-	-	-	-	-	-	-
πολλὰ	πολύς	2	a	-	p	-	-	-	n	a	-
δὲ	δέ	3	d	-	-	-	-	-	-	-	-
ἡμᾶς	ἐγώ	4	p	1	p	-	-	-	m	a	-
εἰκὸς	εἰκός	5	v	-	s	r	p	a	n	n	-
ἐπικρατῆσαι	ἐπικρατέω	6	v	-	-	a	n	a	-	-	-
,	,	7	u	-	-	-	-	-	-	-	-
πρῶτον	πρῶτος	8	a	-	s	-	-	-	n	n	-
μὲν	μέν	9	d	-	-	-	-	-	-	-	-
πλήθει	πλῆθος	10	n	-	s	-	-	-	n	d	-
