form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
κεκακωμένων	κακόω	1	v	-	p	r	p	e	m	g	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
Ἰώνων	Ἴωνες	3	n	-	p	-	-	-	m	g	-
καὶ	καί	4	c	-	-	-	-	-	-	-	-
συλλεγομένων	συλλέγω	5	v	-	p	p	p	e	m	g	-
οὐδὲν	οὐδείς	6	p	-	s	-	-	-	n	a	-
ἧσσον	ἥσσων	7	a	-	s	-	-	-	n	a	c
ἐς	εἰς	8	r	-	-	-	-	-	-	-	-
τὸ	ὁ	9	l	-	s	-	-	-	n	n	-
Πανιώνιον	Πανιώνιος	10	n	-	s	-	-	-	m	a	-
,	punc1	11	u	-	-	-	-	-	-	-	-
πυνθάνομαι	πυνθάνομαι	12	v	1	s	p	i	e	-	-	-
γνώμην	γνώμη	13	n	-	s	-	-	-	f	a	-
Βίαντα	Βίας	14	n	-	s	-	-	-	m	a	-
ἄνδρα	ἀνήρ	15	n	-	s	-	-	-	m	a	-
Πριηνέα	Πριηνεύς	16	n	-	s	-	-	-	m	a	-
ἀποδέξασθαι	ἀποδέχομαι	17	v	-	-	a	n	m	-	-	-
Ἴωσι	ἴωσις	18	n	-	s	-	-	-	f	v	-
χρησιμωτάτην	χρήσιμος	19	a	-	s	-	-	-	f	a	s
,	punc1	20	u	-	-	-	-	-	-	-	-
τῇ	ὅς	21	p	-	s	-	-	-	f	d	-
εἰ	εἰ	22	c	-	-	-	-	-	-	-	-
ἐπείθοντο	πείθω	23	v	3	p	i	i	e	-	-	-
,	punc1	24	u	-	-	-	-	-	-	-	-
παρεῖχε	παρέχω	25	v	3	s	i	i	a	-	-	-
ἂν	ἄν1	26	d	-	-	-	-	-	-	-	-
σφι	σφεῖς	27	p	-	p	-	-	-	m	d	-
εὐδαιμονέειν	εὐδαιμονέω	28	v	-	-	p	n	a	-	-	-
Ἑλλήνων	Ἕλλην	29	n	-	p	-	-	-	m	g	-
μάλιστα	μάλιστα	30	d	-	-	-	-	-	-	-	-
:	punc1	31	u	-	-	-	-	-	-	-	-

ὃς	ὅς	1	p	-	s	-	-	-	m	n	-
ἐκέλευε	κελεύω	2	v	3	s	i	i	a	-	-	-
κοινῷ	κοινός	3	a	-	s	-	-	-	m	d	-
στόλῳ	στόλος	4	n	-	s	-	-	-	m	d	-
Ἴωνας	Ἴωνες	5	n	-	p	-	-	-	m	a	-
ἀερθέντας	ἀείρω	6	v	-	p	a	p	p	m	a	-
πλέειν	πλέω	7	v	-	-	p	n	a	-	-	-
