form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
Καὶ	καὶ	1	d	-	-	-	-	-	-	-	_
Ῥωμαῖοι	Ῥωμαῖος	2	n	-	p	-	-	-	m	n	-
μὲν	μέν	3	d	-	-	-	-	-	-	-	-
ἐν	ἐν	4	r	-	-	-	-	-	-	-	-
ἀφθόνοις	ἄφθονος	5	a	-	p	-	-	-	n	d	-
διῆγον	διάγω	6	v	3	p	i	i	a	-	-	-
ἀνειμένοι	ἀνίημι	7	v	-	p	r	p	e	m	n	-
τῶν	ὁ	8	l	-	p	-	-	-	n	g	-
ὅπλων	ὅπλον	9	n	-	p	-	-	-	n	g	-
,	punc1	10	u	-	-	-	-	-	-	-	-
Ἡρώδης	Ἡρώδης	11	n	-	s	-	-	-	m	n	-
δ᾽	δέ	12	c	-	-	-	-	-	-	-	-
οὐκ	οὐ	13	d	-	-	-	-	-	-	-	-
ἠρέμει	ἠρεμέω	14	v	3	s	i	i	a	-	-	-
,	punc1	15	u	-	-	-	-	-	-	-	-
ἀλλὰ	ἀλλά	16	c	-	-	-	-	-	-	-	-
τὴν	ὁ	17	l	-	s	-	-	-	f	a	-
μὲν	μέν	18	d	-	-	-	-	-	-	-	-
Ἰδουμαίαν	Ἰδουμαία	19	n	-	s	-	-	-	f	a	-
δισχιλίοις	δισχίλιοι	20	a	-	p	-	-	-	m	d	-
πεζοῖς	πεζός	21	a	-	p	-	-	-	m	d	-
καὶ	καί	22	c	-	-	-	-	-	-	-	-
τετρακοσίοις	τετρακόσιοι	23	a	-	p	-	-	-	m	d	-
ἱππεῦσιν	ἱππεύς	24	n	-	p	-	-	-	m	d	-
διαλαμβάνει	διαλαμβάνω	25	v	3	s	p	i	a	-	-	-
πέμψας	πέμπω	26	v	-	s	a	p	a	m	n	-
τὸν	ὁ	27	l	-	s	-	-	-	m	a	-
ἀδελφὸν	ἀδελφός	28	n	-	s	-	-	-	m	a	-
Ἰώσηπον	Ἰώσηπος	29	n	-	s	-	-	-	m	a	-
,	punc1	30	u	-	-	-	-	-	-	-	-
ὡς	ὡς	31	c	-	-	-	-	-	-	-	-
μή	μή	32	d	-	-	-	-	-	-	-	-
τι	τις	33	p	-	s	-	-	-	n	n	-
νεωτερισθείη	νεωτερίζω	34	v	3	s	a	o	p	-	-	-
πρὸς	πρός	35	r	-	-	-	-	-	-	-	-
Ἀντίγονον	Ἀντίγονος	36	n	-	s	-	-	-	m	a	-
αὐτὸς	αὐτός	37	p	-	s	-	-	-	m	n	-
δὲ	δέ	38	c	-	-	-	-	-	-	-	-
τὴν	ὁ	39	l	-	s	-	-	-	f	a	-
μητέρα	μήτηρ	40	n	-	s	-	-	-	f	a	-
καὶ	καί	41	c	-	-	-	-	-	-	-	-
ὅσους	ὅσος	42	a	-	p	-	-	-	m	a	-
ἐκ	ἐκ	43	r	-	-	-	-	-	-	-	-
Μασάδας	Μασάδα	44	n	-	s	-	-	-	f	g	-
οἰκείους	οἰκεῖος	45	a	-	p	-	-	-	m	a	-
ἐξήγαγεν	ἐξάγω	46	v	3	s	a	i	a	-	-	-
μεταγαγὼν	μετάγω	47	v	-	s	a	p	a	m	n	-
εἰς	εἰς	48	r	-	-	-	-	-	-	-	-
Σαμάρειαν	Σαμάρεια	49	n	-	s	-	-	-	f	a	-
καὶ	καί	50	c	-	-	-	-	-	-	-	-
καταστησάμενος	καθίστημι	51	v	-	s	a	p	m	m	n	-
ἀσφαλῶς	ἀσφαλής	52	d	-	-	-	-	-	-	-	-
ᾔει	εἶμι	53	v	3	s	i	i	a	-	-	-
τὰ	ὁ	54	l	-	p	-	-	-	n	a	-
λοιπὰ	λοιπός	55	a	-	p	-	-	-	n	a	-
τῆς	ὁ	56	l	-	s	-	-	-	f	g	-
Γαλιλαίας	Γαλιλαία	57	n	-	s	-	-	-	f	g	-
καταστρεψόμενος	καταστρέφω	58	v	-	s	f	p	m	m	n	-
καὶ	καί	59	c	-	-	-	-	-	-	-	-
τὰς	ὁ	60	l	-	p	-	-	-	f	a	-
Ἀντιγόνου	Ἀντίγονος	61	n	-	s	-	-	-	m	g	-
φρουρὰς	φρουρά	62	n	-	p	-	-	-	f	a	-
ἐξελάσων	ἐξελαύνω	63	v	-	s	f	p	a	m	n	-
.	punc1	64	u	-	-	-	-	-	-	-	-

Πρὸς	πρός	1	r	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
τὴν	ὁ	3	l	-	s	-	-	-	f	a	-
Σέπφωριν	Σέπφωρις	4	n	-	s	-	-	-	f	a	-
ἐν	ἐν	5	r	-	-	-	-	-	-	-	-
νιφετῷ	νιφετός	6	n	-	s	-	-	-	m	d	-
σφοδροτάτῳ	σφοδρός	7	a	-	s	-	-	-	m	d	s
διανύσας	διανύω	8	v	-	s	a	p	a	m	n	-
ἀκονιτὶ	ἀκονιτί	9	d	-	-	-	-	-	-	-	-
παραλαμβάνει	παραλαμβάνω	10	v	3	s	p	i	a	-	-	-
τὴν	ὁ	11	l	-	s	-	-	-	f	a	-
πόλιν	πόλις	12	n	-	s	-	-	-	f	a	-
πρὸ	πρό	13	r	-	-	-	-	-	-	-	-
τῆς	ὁ	14	l	-	s	-	-	-	f	g	-
ἐφόδου	ἔφοδος3	15	n	-	s	-	-	-	f	g	-
τῶν	ὁ	16	l	-	p	-	-	-	m	g	-
φυλάκων	φυλακός	17	n	-	p	-	-	-	m	g	-
ἐκφυγόντων	ἐκφεύγω	18	v	-	p	a	p	a	m	g	-
.	punc1	19	u	-	-	-	-	-	-	-	-

ἔνθα	ἔνθα	1	d	-	-	-	-	-	-	-	-
τοὺς	ὁ	2	l	-	p	-	-	-	m	a	-
ἑπομένους	ἕπομαι	3	v	-	p	p	p	e	m	a	-
ὑπὸ	ὑπό	4	r	-	-	-	-	-	-	-	-
τοῦ	ὁ	5	l	-	s	-	-	-	m	g	-
χειμῶνος	χειμών	6	n	-	s	-	-	-	m	g	-
κακωθέντας	κακόω	7	v	-	p	a	p	p	m	a	-
ἀναλαβών	ἀναλαμβάνω	8	v	-	s	a	p	a	m	n	-
,	punc1	9	u	-	-	-	-	-	-	-	-
πολλὴ	πολύς	10	a	-	s	-	-	-	f	n	-
δ᾽	δέ	11	d	-	-	-	-	-	-	-	-
ἦν	εἰμί	12	v	3	s	i	i	a	-	-	-
ἀφθονία	ἀφθονία	13	n	-	s	-	-	-	f	n	-
τῶν	ὁ	14	l	-	p	-	-	-	n	g	-
ἐπιτηδείων	ἐπιτήδειος	15	a	-	p	-	-	-	n	g	-
,	punc1	16	u	-	-	-	-	-	-	-	-
ἐπὶ	ἐπί	17	r	-	-	-	-	-	-	-	-
τοὺς	ὁ	18	l	-	p	-	-	-	m	a	-
ἐν	ἐν	19	r	-	-	-	-	-	-	-	-
τοῖς	ὁ	20	l	-	p	-	-	-	n	d	-
σπηλαίοις	σπήλαιον	21	n	-	p	-	-	-	n	d	-
ὥρμητο	ὁρμάω	22	v	3	s	i	i	e	-	-	-
λῃστάς	ληιστής	23	n	-	p	-	-	-	m	a	-
,	punc1	24	u	-	-	-	-	-	-	-	-
οἳ	ὅς	25	p	-	p	-	-	-	m	n	-
πολλὴν	πολύς	26	a	-	s	-	-	-	f	a	-
τῆς	ὁ	27	l	-	s	-	-	-	f	g	-
χώρας	χώρα	28	n	-	s	-	-	-	f	g	-
κατατρέχοντες	κατατρέχω	29	v	-	p	p	p	a	m	n	-
οὐκ	οὐ	30	d	-	-	-	-	-	-	-	-
ἐλάττω	ἐλάσσων	31	a	-	p	-	-	-	n	a	c
κακὰ	κακός	32	a	-	p	-	-	-	n	a	-
πολέμου	πόλεμος	33	n	-	s	-	-	-	m	g	-
διετίθεσαν	διατίθημι	34	v	3	p	i	i	a	-	-	-
τοὺς	ὁ	35	l	-	p	-	-	-	m	a	-
ἐπιχωρίους	ἐπιχώριος	36	a	-	p	-	-	-	m	a	-
.	punc1	37	u	-	-	-	-	-	-	-	-

προπέμψας	προπέμπω	1	v	-	s	a	p	a	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
πεζῶν	πεζός	3	a	-	p	-	-	-	m	g	-
τρία	τρεῖς	4	a	-	p	-	-	-	n	a	_
τέλη	τέλος	5	n	-	p	-	-	-	n	a	-
καὶ	καί	6	c	-	-	-	-	-	-	-	-
μίαν	εἷς	7	a	-	s	-	-	-	f	a	-
ἴλην	ἴλη	8	n	-	s	-	-	-	f	a	-
ἱππέων	ἱππεύς	9	n	-	p	-	-	-	m	g	-
πρὸς	πρός	10	r	-	-	-	-	-	-	-	-
