form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ἡμεῖς	ἐγώ	1	p	1	p	-	-	-	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
νῦν	νῦν	3	d	-	-	-	-	-	-	-	-
καὶ	καί	4	d	-	-	-	-	-	-	-	-
ἀδικούμενοι	ἀδικέω	5	v	-	p	p	p	e	m	n	-
τὸν	ὁ	6	l	-	s	-	-	-	m	a	-
πόλεμον	πόλεμος	7	n	-	s	-	-	-	m	a	-
ἐγείρομεν	ἐγείρω	8	v	1	p	p	i	a	-	-	-
καὶ	καί	9	c	-	-	-	-	-	-	-	-
ἱκανὰ	ἱκανός	10	a	-	p	-	-	-	n	a	-
ἔχοντες	ἔχω	11	v	-	p	p	p	a	m	n	-
ἐγκλήματα	ἔγκλημα	12	n	-	p	-	-	-	n	a	-
,	,	13	u	-	-	-	-	-	-	-	-
καὶ	καί	14	c	-	-	-	-	-	-	-	-
ὅταν	ὅταν	15	c	-	-	-	-	-	-	-	-
ἀμυνώμεθα	ἀμύνω	16	v	1	p	p	s	e	-	-	-
Ἀθηναίους	Ἀθηναῖος	17	n	-	p	-	-	-	m	a	-
,	,	18	u	-	-	-	-	-	-	-	-
καταθησόμεθα	κατατίθημι	19	v	1	p	f	i	m	-	-	-
αὐτὸν	αὐτός	20	p	-	s	-	-	-	m	a	-
ἐν	ἐν	21	r	-	-	-	-	-	-	-	-
καιρῷ	καιρός	22	n	-	s	-	-	-	m	d	-
.	.	23	u	-	-	-	-	-	-	-	-

κατὰ	κατά	1	r	-	-	-	-	-	-	-	-
πολλὰ	πολύς	2	a	-	p	-	-	-	n	a	-
δὲ	δέ	3	d	-	-	-	-	-	-	-	-
ἡμᾶς	ἐγώ	4	p	1	p	-	-	-	m	a	-
εἰκὸς	εἰκός	5	v	-	s	r	p	a	n	n	-
ἐπικρατῆσαι	ἐπικρατέω	6	v	-	-	a	n	a	-	-	-
,	,	7	u	-	-	-	-	-	-	-	-
πρῶτον	πρῶτος	8	a	-	s	-	-	-	n	n	-
μὲν	μέν	9	d	-	-	-	-	-	-	-	-
πλήθει	πλῆθος	10	n	-	s	-	-	-	n	d	-
προύχοντας	προέχω	11	v	-	p	p	p	a	m	a	-
καὶ	καί	12	c	-	-	-	-	-	-	-	-
ἐμπειρίᾳ	ἐμπειρία	13	n	-	s	-	-	-	f	d	-
πολεμικῇ	πολεμικός	14	a	-	s	-	-	-	f	d	-
,	,	15	u	-	-	-	-	-	-	-	-
ἔπειτα	ἔπειτα	16	c	-	-	-	-	-	-	-	-
ὁμοίως	ὅμοιος	17	d	-	-	-	-	-	-	-	-
πάντας	πᾶς	18	a	-	p	-	-	-	m	a	-
ἐς	εἰς	19	r	-	-	-	-	-	-	-	-
τὰ	ὁ	20	l	-	p	-	-	-	n	a	-
παραγγελλόμενα	παραγγέλλω	21	v	-	p	p	p	e	n	a	-
ἰόντας	εἶμι	22	v	-	p	p	p	a	m	a	-
,	,	23	u	-	-	-	-	-	-	-	-
ναυτικόν	ναυτικός	24	a	-	s	-	-	-	n	a	-
τε	τε	25	c	-	-	-	-	-	-	-	-
,	,	26	u	-	-	-	-	-	-	-	-
ᾧ	ὅς	27	p	-	s	-	-	-	n	d	-
ἰσχύουσιν	ἰσχύω	28	v	3	p	p	i	a	-	-	-
,	,	29	u	-	-	-	-	-	-	-	-
ἀπὸ	ἀπό	30	r	-	-	-	-	-	-	-	-
τῆς	ὁ	31	l	-	s	-	-	-	f	g	-
ὑπαρχούσης	ὑπάρχω	32	v	-	s	p	p	a	f	g	-
τε	τε	33	d	-	-	-	-	-	-	-	-
ἑκάστοις	ἕκαστος	34	a	-	p	-	-	-	m	d	-
οὐσίας	οὐσία	35	n	-	s	-	-	-	f	g	-
ἐξαρτυσόμεθα	ἐξαρτύω	36	v	1	p	f	i	m	-	-	-
καὶ	καί	37	d	-	-	-	-	-	-	-	-
ἀπὸ	ἀπό	38	r	-	-	-	-	-	-	-	-
τῶν	ὁ	39	l	-	p	-	-	-	n	g	-
ἐν	ἐν	40	r	-	-	-	-	-	-	-	-
Δελφοῖς	Δελφοί	41	n	-	p	-	-	-	m	d	-
καὶ	καί	42	c	-	-	-	-	-	-	-	-
Ὀλυμπίᾳ	Ὀλυμπία	43	n	-	s	-	-	-	f	d	-
χρημάτων	χρῆμα	44	n	-	p	-	-	-	n	g	-
:	:	45	u	-	-	-	-	-	-	-	-

δάνεισμα	δάνεισμα	1	n	-	s	-	-	-	n	a	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
ποιησάμενοι	ποιέω	3	v	-	p	a	p	m	m	n	-
ὑπολαβεῖν	ὑπολαμβάνω	4	v	-	-	a	n	a	-	-	-
οἷοί	οἷος	5	a	-	p	-	-	-	m	n	-
τ᾽	τε	6	d	-	-	-	-	-	-	-	-
ἐσμὲν	εἰμί	7	v	1	p	p	i	a	-	-	-
μισθῷ	μισθός	8	n	-	s	-	-	-	m	d	-
μείζονι	μέγας	9	a	-	s	-	-	-	m	d	c
τοὺς	ὁ	10	l	-	p	-	-	-	m	a	-
ξένους	ξένος2	11	a	-	p	-	-	-	m	a	-
αὐτῶν	αὐτός	12	p	-	p	-	-	-	m	g	-
ναυβάτας	ναυβάτης	13	n	-	p	-	-	-	m	a	-
.	.	14	u	-	-	-	-	-	-	-	-

ὠνητὴ	ὠνητός	1	a	-	s	-	-	-	f	n	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
ἡ	ὁ	3	l	-	s	-	-	-	f	n	-
Ἀθηναίων	Ἀθηναῖος	4	n	-	p	-	-	-	m	g	-
δύναμις	δύναμις	5	n	-	s	-	-	-	f	n	-
μᾶλλον	μᾶλλον	6	d	-	-	-	-	-	-	-	-
ἢ	ἤ1	7	c	-	-	-	-	-	-	-	-
οἰκεία	οἰκεῖος	8	a	-	s	-	-	-	f	n	-
:	:	9	u	-	-	-	-	-	-	-	-

ἡ	ὁ	1	l	-	s	-	-	-	f	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ἡμετέρα	ἡμέτερος	3	a	-	s	-	-	-	f	n	-
ἧσσον	ἥσσων	4	a	-	s	-	-	-	n	a	c
ἂν	ἄν1	5	d	-	-	-	-	-	-	-	-
τοῦτο	οὗτος	6	p	-	s	-	-	-	n	a	-
πάθοι	πάσχω	7	v	3	s	a	o	a	-	-	-
,	,	8	u	-	-	-	-	-	-	-	-
τοῖς	ὁ	9	l	-	p	-	-	-	n	d	-
σώμασι	σῶμα	10	n	-	p	-	-	-	n	d	-
τὸ	ὁ	11	l	-	s	-	-	-	n	a	-
πλέον	πλείων	12	a	-	s	-	-	-	n	a	c
ἰσχύουσα	ἰσχύω	13	v	-	s	p	p	a	f	n	-
ἢ	ἤ1	14	c	-	-	-	-	-	-	-	-
τοῖς	ὁ	15	l	-	p	-	-	-	n	d	-
χρήμασιν	χρῆμα	16	n	-	p	-	-	-	n	d	-
.	.	17	u	-	-	-	-	-	-	-	-

μιᾷ	εἷς	1	a	-	s	-	-	-	f	d	-
τε	τε	2	d	-	-	-	-	-	-	-	-
νίκῃ	νίκη	3	n	-	s	-	-	-	f	d	-
ναυμαχίας	ναυμαχία	4	n	-	s	-	-	-	f	g	-
κατὰ	κατά	5	r	-	-	-	-	-	-	-	-
τὸ	ὁ	6	l	-	s	-	-	-	n	a	-
εἰκὸς	εἰκός	7	v	-	s	r	p	a	n	a	-
ἁλίσκονται	ἁλίσκομαι	8	v	3	p	p	i	e	-	-	-
:	:	9	u	-	-	-	-	-	-	-	-

εἰ	εἰ	1	c	-	-	-	-	-	-	-	-
δ᾽	δέ	2	d	-	-	-	-	-	-	-	-
ἀντίσχοιεν	ἀντέχω	3	v	3	p	a	o	a	-	-	-
,	,	4	u	-	-	-	-	-	-	-	-
μελετήσομεν	μελετάω	5	v	1	p	f	i	a	-	-	-
καὶ	καί	6	d	-	-	-	-	-	-	-	-
ἡμεῖς	ἐγώ	7	p	1	p	-	-	-	m	n	-
ἐν	ἐν	8	r	-	-	-	-	-	-	-	-
πλέονι	πλείων	9	a	-	s	-	-	-	m	d	c
χρόνῳ	χρόνος	10	n	-	s	-	-	-	m	d	-
τὰ	ὁ	11	l	-	p	-	-	-	n	a	-
ναυτικά	ναυτικός	12	a	-	p	-	-	-	n	a	-
,	,	13	u	-	-	-	-	-	-	-	-
καὶ	καί	14	c	-	-	-	-	-	-	-	-
ὅταν	ὅταν	15	c	-	-	-	-	-	-	-	-
τὴν	ὁ	16	l	-	s	-	-	-	f	a	-
ἐπιστήμην	ἐπιστήμη	17	n	-	s	-	-	-	f	a	-
ἐς	εἰς	18	r	-	-	-	-	-	-	-	-
τὸ	ὁ	19	l	-	s	-	-	-	n	a	-
ἴσον	ἴσος	20	a	-	s	-	-	-	n	a	-
καταστήσωμεν	καθίστημι	21	v	1	p	a	s	a	-	-	-
,	,	22	u	-	-	-	-	-	-	-	-
τῇ	ὁ	23	l	-	s	-	-	-	f	d	-
γε	γε	24	d	-	-	-	-	-	-	-	-
εὐψυχίᾳ	εὐψυχία	25	n	-	s	-	-	-	f	d	-
δήπου	δήπου	26	d	-	-	-	-	-	-	-	-
περιεσόμεθα	περίειμι1	27	v	1	p	f	i	m	-	-	-
.	.	28	u	-	-	-	-	-	-	-	-

