form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
Ῥωμαίοις	Ῥωμαῖος	1	n	-	p	-	-	-	m	d	-
ὁ	ὁ	2	l	-	s	-	-	-	m	n	-
δῆμος	δῆμος	3	n	-	s	-	-	-	m	n	-
καὶ	καί	4	c	-	-	-	-	-	-	-	-
ἡ	ὁ	5	l	-	s	-	-	-	f	n	-
βουλὴ	βουλή	6	n	-	s	-	-	-	f	n	-
πολλάκις	πολλάκις	7	d	-	-	-	-	-	-	-	-
ἐς	εἰς	8	r	-	-	-	-	-	-	-	-
ἀλλήλους	ἀλλήλων	9	p	-	p	-	-	-	m	a	-
περί	περί	10	r	-	-	-	-	-	-	-	-
τε	τε	11	d	-	-	-	-	-	-	-	-
νόμων	νόμος	12	n	-	p	-	-	-	m	g	-
θέσεως	θέσις	13	n	-	s	-	-	-	f	g	-
καὶ	καί	14	c	-	-	-	-	-	-	-	-
χρεῶν	χρέος	15	n	-	p	-	-	-	n	g	-
ἀποκοπῆς	ἀποκοπή	16	n	-	s	-	-	-	f	g	-
ἢ	ἤ1	17	d	-	-	-	-	-	-	-	-
γῆς	γῆ	18	n	-	s	-	-	-	f	g	-
διαδατουμένης	διαδατέομαι	19	v	-	s	p	p	e	f	g	-
ἢ	ἢ	20	c	-	-	-	-	-	-	-	-
ἐν	ἐν	21	r	-	-	-	-	-	-	-	-
ἀρχαιρεσίαις	ἀρχαιρεσία	22	n	-	p	-	-	-	f	d	-
ἐστασίασαν	στασιάζω	23	v	3	p	a	i	a	-	-	-
·	·	24	u	-	-	-	-	-	-	-	-

οὐ	οὐ	1	d	-	-	-	-	-	-	-	_
μήν	μήν	2	d	-	-	-	-	-	-	-	-
τι	τις	3	a	-	s	-	-	-	n	a	_
χειρῶν	χειρόω	4	v	-	s	p	p	a	n	n	-
ἔργον	ἔργον	5	n	-	s	-	-	-	n	n	-
ἔμφυλον	ἔμφυλος	6	a	-	s	-	-	-	n	n	-
ἦν	εἰμί	7	v	3	s	i	i	a	-	-	-
,	,	8	u	-	-	-	-	-	-	-	-
ἀλλὰ	ἀλλά	9	c	-	-	-	-	-	-	-	-
διαφοραὶ	διαφορά	10	n	-	p	-	-	-	f	n	-
μόναι	μόνος	11	a	-	p	-	-	-	f	n	-
καὶ	καί	12	c	-	-	-	-	-	-	-	-
ἔριδες	ἔρις	13	n	-	p	-	-	-	f	n	-
ἔννομοι	ἔννομος	14	a	-	p	-	-	-	f	n	-
,	,	15	u	-	-	-	-	-	-	-	-
καὶ	καί	16	c	-	-	-	-	-	-	-	-
τάδε	ὅδε	17	p	-	p	-	-	-	n	a	-
μετὰ	μετά	18	r	-	-	-	-	-	-	-	-
πολλῆς	πολύς	19	a	-	s	-	-	-	f	g	-
αἰδοῦς	αἰδώ	20	n	-	s	-	-	-	f	g	-
εἴκοντες	εἴκω	21	v	-	p	p	p	a	m	n	-
ἀλλήλοις	ἀλλήλων	22	p	-	p	-	-	-	m	d	-
διετίθεντο	διατίθημι	23	v	3	p	i	i	e	-	-	-
.	.	24	u	-	-	-	-	-	-	-	-

ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
δῆμός	δῆμος	3	n	-	s	-	-	-	m	n	-
ποτε	ποτέ	4	d	-	-	-	-	-	-	-	-
καὶ	καί	5	d	-	-	-	-	-	-	-	-
στρατευόμενος	στρατεύω	6	v	-	s	p	p	e	m	n	-
ἐς	εἰς	7	r	-	-	-	-	-	-	-	-
τοιάνδε	τοιόσδε	8	a	-	s	-	-	-	f	a	_
ἔριν	ἔρις	9	n	-	s	-	-	-	f	a	-
ἐμπεσὼν	ἐμπίτνω	10	v	-	s	a	p	a	m	n	-
οὐκ	οὐ	11	d	-	-	-	-	-	-	-	-
ἐχρήσατο	χράω2	12	v	3	s	a	i	m	-	-	-
τοῖς	ὁ	13	l	-	p	-	-	-	n	d	-
ὅπλοις	ὅπλον	14	n	-	p	-	-	-	n	d	-
παροῦσιν	πάρειμι1	15	v	-	p	p	p	a	n	d	-
