form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ὅτι	ὅστις	1	p	-	s	-	-	-	n	a	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
ὑμεῖς	σύ	3	p	-	p	-	-	-	m	n	-
,	punc1	4	u	-	-	-	-	-	-	-	-
ὦ	ὦ	5	i	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	6	n	-	p	-	-	-	m	v	-
Ἀθηναῖοι	Ἀθηναῖος	7	n	-	p	-	-	-	m	v	-
,	punc1	8	u	-	-	-	-	-	-	-	-
πεπόνθατε	πάσχω	9	v	2	p	r	i	a	-	-	-
ὑπὸ	ὑπό	10	r	-	-	-	-	-	-	-	-
τῶν	ὁ	11	l	-	p	-	-	-	m	g	-
ἐμῶν	ἐμός	12	a	-	p	-	-	-	m	g	-
κατηγόρων	κατήγορος	13	a	-	p	-	-	-	f	g	-
,	punc1	14	u	-	-	-	-	-	-	-	-
οὐκ	οὐ	15	d	-	-	-	-	-	-	-	-
οἶδα	οἶδα	16	v	1	s	r	i	a	-	-	-
·	punc1	17	u	-	-	-	-	-	-	-	-

ἐγὼ	ἐγώ	1	p	1	s	-	-	-	m	n	-
δʼ	δέ	2	d	-	-	-	-	-	-	-	-
οὖν	οὖν	3	d	-	-	-	-	-	-	-	-
καὶ	καί	4	d	-	-	-	-	-	-	-	-
αὐτὸς	αὐτός	5	a	-	s	-	-	-	m	n	_
ὑπʼ	ὑπό	6	r	-	-	-	-	-	-	-	-
αὐτῶν	αὐτός	7	p	-	p	-	-	-	m	g	-
ὀλίγου	ὀλίγος	8	a	-	s	-	-	-	m	g	-
ἐμαυτοῦ	ἐμαυτοῦ	9	p	-	s	-	-	-	m	g	-
ἐπελαθόμην	ἐπιλανθάνομαι	10	v	1	s	a	i	m	-	-	-
,	punc1	11	u	-	-	-	-	-	-	-	-
οὕτω	οὕτως	12	d	-	-	-	-	-	-	-	-
πιθανῶς	πιθανός	13	d	-	-	-	-	-	-	-	p
ἔλεγον	λέγω3	14	v	3	p	i	i	a	-	-	-
.	punc1	15	u	-	-	-	-	-	-	-	-

καίτοι	καίτοι	1	d	-	-	-	-	-	-	-	-
ἀληθές	ἀληθής	2	a	-	s	-	-	-	n	a	-
γε	γε	3	d	-	-	-	-	-	-	-	-
ὡς	ὡς	4	c	-	-	-	-	-	-	-	-
ἔπος	ἔπος	5	n	-	s	-	-	-	n	a	-
εἰπεῖν	εἶπον	6	v	-	-	a	n	a	-	-	-
οὐδὲν	οὐδείς	7	p	-	s	-	-	-	n	a	-
εἰρήκασιν	ἐρῶ	8	v	3	p	r	i	a	-	-	-
.	punc1	9	u	-	-	-	-	-	-	-	-

μάλιστα	μάλιστα	1	d	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
αὐτῶν	αὐτός	3	p	-	p	-	-	-	n	g	-
ἓν	εἷς	4	n	-	s	-	-	-	n	a	-
ἐθαύμασα	θαυμάζω	5	v	1	s	a	i	a	-	-	-
τῶν	ὁ	6	l	-	p	-	-	-	n	g	-
πολλῶν	πολύς	7	a	-	p	-	-	-	n	g	-
ὧν	ὅς	8	p	-	p	-	-	-	n	g	-
ἐψεύσαντο	ψεύδω	9	v	3	p	a	i	m	-	-	-
,	punc1	10	u	-	-	-	-	-	-	-	-
τοῦτο	οὗτος	11	a	-	s	-	-	-	n	a	_
