form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
τοίνυν	τοίνυν	2	d	-	-	-	-	-	-	-	-
οὐδενὸς	οὐδείς	3	p	-	s	-	-	-	m	g	-
ἧττον	ἥσσων	4	a	-	s	-	-	-	n	a	c
σοφὸς	σοφός	5	a	-	s	-	-	-	m	n	-
τῶν	ὁ	6	l	-	p	-	-	-	m	g	-
ποιητῶν	ποιητής	7	n	-	p	-	-	-	m	g	-
Εὐριπίδης	Εὐριπίδης	8	n	-	s	-	-	-	m	n	-
,	,	9	u	-	-	-	-	-	-	-	-
ἕν	εἷς	10	a	-	s	-	-	-	n	a	_
τι	τις	11	p	-	s	-	-	-	n	a	-
τῶν	ὁ	12	l	-	p	-	-	-	n	g	-
καλλίστων	καλός	13	a	-	p	-	-	-	n	g	s
ὑπολαμβάνων	ὑπολαμβάνω	14	v	-	s	p	p	a	m	n	-
εἶναι	εἰμί	15	v	-	-	p	n	a	-	-	-
τὸ	ὁ	16	l	-	s	-	-	-	n	a	-
σωφρόνως	σώφρων	17	d	-	-	-	-	-	-	-	p
ἐρᾶν	ἐράω1	18	v	-	-	p	n	a	-	-	-
,	,	19	u	-	-	-	-	-	-	-	-
ἐν	ἐν	20	r	-	-	-	-	-	-	-	-
εὐχῆς	εὐχή	21	n	-	s	-	-	-	f	g	-
μέρει	μέρος	22	n	-	s	-	-	-	n	d	-
τὸν	ὁ	23	l	-	s	-	-	-	m	a	-
ἔρωτα	ἔρως	24	n	-	s	-	-	-	m	a	-
ποιούμενος	ποιέω	25	v	-	s	p	p	e	m	n	-
λέγει	λέγω3	26	v	3	s	p	i	a	-	-	-
που	πού	27	d	-	-	-	-	-	-	-	-
:	:	28	u	-	-	-	-	-	-	-	-

ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
δ᾽	δέ	2	d	-	-	-	-	-	-	-	-
εἰς	εἰς	3	r	-	-	-	-	-	-	-	-
τὸ	ὁ	4	l	-	s	-	-	-	n	a	-
σῶφρον	σώφρων	5	a	-	s	-	-	-	n	a	-
ἐπ᾽	ἐπί	6	r	-	-	-	-	-	-	-	-
ἀρετήν	ἀρετή	7	n	-	s	-	-	-	f	a	-
τ᾽	τε	8	c	-	-	-	-	-	-	-	-
ἄγων	ἄγω	9	v	-	s	p	p	a	m	n	-
ἔρως	ἔρως	10	n	-	s	-	-	-	m	n	-
ζηλωτὸς	ζηλωτός	11	a	-	s	-	-	-	m	n	-
ἀνθρώποισιν	ἄνθρωπος	12	n	-	p	-	-	-	m	d	-
,	,	13	u	-	-	-	-	-	-	-	-
ὧν	ὅς	14	p	-	p	-	-	-	m	g	-
εἴην	εἰμί	15	v	1	s	p	o	a	-	-	-
ἐγώ	ἐγώ	16	p	1	s	-	-	-	m	n	-
.	.	17	u	-	-	-	-	-	-	-	-

πάλιν	πάλιν	1	d	-	-	-	-	-	-	-	-
τοίνυν	τοίνυν	2	d	-	-	-	-	-	-	-	-
ὁ	ὁ	3	l	-	s	-	-	-	m	n	-
αὐτὸς	αὐτός	4	p	-	s	-	-	-	m	n	-
ἐν	ἐν	5	r	-	-	-	-	-	-	-	-
τῷ	ὁ	6	l	-	s	-	-	-	m	d	-
Φοίνικι	Φοῖνιξ	7	n	-	s	-	-	-	m	d	-
ἀποφαίνεται	ἀποφαίνω	8	v	3	s	p	i	e	-	-	-
,	,	9	u	-	-	-	-	-	-	-	-
ὑπὲρ	ὑπέρ	10	r	-	-	-	-	-	-	-	-
τῆς	ὁ	11	l	-	s	-	-	-	f	g	-
γεγενημένης	γίγνομαι	12	v	-	s	r	p	e	f	g	-
αὐτῷ	αὐτός	13	p	-	s	-	-	-	m	d	-
πρὸς	πρός	14	r	-	-	-	-	-	-	-	-
τὸν	ὁ	15	l	-	s	-	-	-	m	a	-
πατέρα	πατήρ	16	n	-	s	-	-	-	m	a	-
διαβολῆς	διαβολή	17	n	-	s	-	-	-	f	g	-
ἀπολογούμενος	ἀπολογέομαι	18	v	-	s	p	p	e	m	n	-
,	,	19	u	-	-	-	-	-	-	-	-
καὶ	καί	20	c	-	-	-	-	-	-	-	-
ἀπεθίζων	ἀπεθίζω	21	v	-	s	p	p	a	m	n	-
τοὺς	ὁ	22	l	-	p	-	-	-	m	a	-
ἀνθρώπους	ἄνθρωπος	23	n	-	p	-	-	-	m	a	-
μὴ	μή	24	d	-	-	-	-	-	-	-	-
ἐξ	ἐκ	25	r	-	-	-	-	-	-	-	-
ὑποψίας	ὑποψία	26	n	-	s	-	-	-	f	g	-
μη	μή	27	d	-	-	-	-	-	-	-	_
-δ᾽	-δ᾽	28	c	-	-	-	-	-	-	-	-
ἐκ	ἐκ	29	r	-	-	-	-	-	-	-	-
διαβολῆς	διαβολή	30	n	-	s	-	-	-	f	g	-
,	,	31	u	-	-	-	-	-	-	-	-
ἀλλ᾽	ἀλλά	32	c	-	-	-	-	-	-	-	-
ἐκ	ἐκ	33	r	-	-	-	-	-	-	-	-
τοῦ	ὁ	34	l	-	s	-	-	-	m	g	-
βίου	βίος	35	n	-	s	-	-	-	m	g	-
,	,	36	u	-	-	-	-	-	-	-	-
τὰς	ὁ	37	l	-	p	-	-	-	f	a	-
κρίσεις	κρίσις	38	n	-	p	-	-	-	f	a	-
ποιεῖσθαι	ποιέω	39	v	-	-	p	n	e	-	-	-
:	:	40	u	-	-	-	-	-	-	-	-

ἤδη	ἤδη	1	d	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
πολλῶν	πολύς	3	a	-	p	-	-	-	m	g	-
ᾑρέθην	αἱρέω	4	v	1	s	a	i	p	-	-	-
λόγων	λόγος	5	n	-	p	-	-	-	m	g	-
κριτής	κριτής	6	n	-	s	-	-	-	m	n	-
,	,	7	u	-	-	-	-	-	-	-	-
καὶ	καί	8	c	-	-	-	-	-	-	-	-
πόλλ᾽	πολύς	9	a	-	p	-	-	-	n	a	-
ἁμιλληθέντα	ἁμιλλάομαι	10	v	-	p	a	p	e	n	a	-
μαρτύρων	μάρτυς	11	n	-	p	-	-	-	m	g	-
ὕπο	ὑπό	12	r	-	-	-	-	-	-	-	-
