form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ἢ	ἤ	1	c	-	-	-	-	-	-	-	-
οἵη	οἷος	2	a	-	s	-	-	-	f	n	-
προλιποῦσα	προλείπω	3	v	-	s	a	p	a	f	n	-
δόμους	δόμος	4	n	-	p	-	-	-	m	a	-
καὶ	καί	5	c	-	-	-	-	-	-	-	-
πατρίδα	πατρίς	6	a	-	s	-	-	-	f	a	-
γαῖαν	γαῖα	7	n	-	s	-	-	-	f	a	-
ἤλυθεν	ἔρχομαι	8	v	3	s	a	i	a	-	-	-
ἐς	εἰς	9	r	-	-	-	-	-	-	-	-
Θήβας	Θῆβαι	10	n	-	p	-	-	-	f	a	-
μετ̓	μετά	11	r	-	-	-	-	-	-	-	-
ἀρήιον	ἄρειος	12	a	-	s	-	-	-	m	a	-
Ἀμφιτρύωνα	Ἀμφιτρύων	13	n	-	s	-	-	-	m	a	-
Ἀλκμήνη	Ἀλκμήνη	14	n	-	s	-	-	-	f	n	-
,	,	15	u	-	-	-	-	-	-	-	-
θυγάτηρ	θυγάτηρ	16	n	-	s	-	-	-	f	n	-
λαοσσόου	λαοσσόος	17	a	-	s	-	-	-	m	g	-
Ἠλεκτρύωνος	Ἠλεκτρύον	18	n	-	s	-	-	-	m	g	-
·	·	19	u	-	-	-	-	-	-	-	-

ἥ	ὁ	1	p	-	s	-	-	-	f	n	-
ῥα	ἄρα	2	g	-	-	-	-	-	-	-	-
γυναικῶν	γυνή	3	n	-	p	-	-	-	f	g	-
φῦλον	φῦλον	4	n	-	s	-	-	-	n	a	-
ἐκαίνυτο	καίνυμαι	5	v	3	s	i	i	e	-	-	-
θηλυτεράων	θῆλυς	6	a	-	p	-	-	-	f	g	-
εἴδεΐ	εἶδος	7	n	-	s	-	-	-	n	d	-
τε	τε	8	g	-	-	-	-	-	-	-	-
μεγέθει	μέγεθος	9	n	-	s	-	-	-	n	d	-
τε	τε	10	g	-	-	-	-	-	-	-	-
·	·	11	u	-	-	-	-	-	-	-	-

νόον	νόος	1	n	-	s	-	-	-	m	a	-
γε	γε	2	g	-	-	-	-	-	-	-	-
μὲν	μέν	3	g	-	-	-	-	-	-	-	-
οὔ	οὐ	4	d	-	-	-	-	-	-	-	-
τις	τις	5	p	-	s	-	-	-	f	n	-
ἔριζε	ἐρίζω	6	v	3	s	i	i	a	-	-	-
τάων	ὁ	7	p	-	p	-	-	-	f	g	-
,	,	8	u	-	-	-	-	-	-	-	-
